337 [GEN] Voice Marker
5700 [GEN] Ashen Crawler
5800 [GEN] Ashen Crawler
5801 [GEN] Ashen Crawler
5900 [GEN] Ashen Crawler
5901 [GEN] Ashen Crawler
5950 [GEN] Fume Sorcerer
6000 [GEN] Ashen Crawler
6001 [GEN] Ashen Crawler
6002 [GEN] Ashen Crawler
6005 [GEN] Ashen Crawler
6007 [GEN] Ashen Crawler
6008 [GEN] Ashen Crawler
6011 [GEN] Ashen Crawler
6020 [GEN] Ashen Crawler
6030 [GEN] Ashen Crawler
7000 [GEN] Prowlers
7001 [GEN] Prowlers
7002 [GEN] Prowlers
7003 [GEN] Prowlers
7004 [GEN] Prowlers
7100 [GEN] Crystal Lizard
7500 [GEN] Flame Lizard
7502 [GEN] Flame Lizard
7503 [GEN] Flame Lizard
7510 [GEN] Alonne Captain
7520 [GEN] Alonne Knight
7530 [GEN] Alonne Knight
7531 [GEN] Alonne Knight
7532 [GEN] Alonne Knight
7533 [GEN] Alonne Knight
7535 [GEN] Alonne Knight
7603 [GEN] Flame Lizard
7610 [GEN] Alonne Captain
7620 [GEN] Alonne Captain
7621 [GEN] Alonne Knight
7622 [GEN] Alonne Knight
7630 [GEN] Alonne Knight
7631 [GEN] Alonne Knight
7640 [GEN] Alonne Knight
7641 [GEN] Alonne Knight
7651 [GEN] Alonne Knight
8001 [GEN] Ashen Warrior
8004 [GEN] Ashen Warrior
8006 [GEN] Ashen Warrior
8007 [GEN] Ashen Warrior
8020 [GEN] Fume Sorcerer
8103 [GEN] Ashen Warrior
8108 [GEN] Ashen Warrior
8109 [GEN] Ashen Warrior
8201 [GEN] Fume Sorcerer
8210 [GEN] Ashen Warrior
8211 [GEN] Ashen Warrior
8212 [GEN] Ashen Warrior
8213 [GEN] Ashen Warrior
8301 [GEN] Possessed Armor
8311 [GEN] Ashen Warrior
8313 [GEN] Ashen Warrior
8314 [GEN] Ashen Warrior
8320 [GEN] Possessed Armor
8400 [GEN] Iron Warrior
8414 [GEN] Possessed Armor
9000 [GEN] Ashen Warrior
9001 [GEN] Ashen Warrior
9010 [GEN] Possessed Armor
9020 [GEN] Possessed Armor
9030 [GEN] Iron Warrior
9040 [GEN] Iron Warrior
9060 [GEN] Ashen Warrior
9070 [GEN] Iron Warrior
9080 [GEN] Ashen Warrior
9090 [GEN] Ashen Warrior
9500 [GEN] Evangelist Scion Waslo
9501 [GEN] Evangelist Scion Waslo
9502 [GEN] Evangelist Scion Waslo
