337 [LOC:337] Voice Marker
2400 [LOC:2400] Possessed Armor
2500 [LOC:2500] Fume Sorcerer
2501 [LOC:2501] Fume Sorcerer
2510 [LOC:2510] Ashen Warrior
2511 [LOC:2511] Ashen Warrior
2512 [LOC:2512] Ashen Warrior
2600 [LOC:2600] Ashen Warrior
2601 [LOC:2601] Ashen Warrior
2602 [LOC:2602] Ashen Warrior
2603 [LOC:2603] Ashen Warrior
2604 [LOC:2604] Ashen Warrior
2700 [LOC:2700] Ashen Warrior
2800 [LOC:2800] Ashen Warrior
2801 [LOC:2801] Ashen Warrior
2805 [LOC:2805] Possessed Armor
2810 [LOC:2810] Ashen Warrior
2811 [LOC:2811] Ashen Warrior
2820 [LOC:2820] Ashen Warrior
2821 [LOC:2821] Ashen Warrior
2822 [LOC:2822] Ashen Warrior
2830 [LOC:2830] Possessed Armor
2900 [LOC:2900] Ashen Warrior
2901 [LOC:2901] Ashen Warrior
2911 [LOC:2911] Ashen Warrior
2912 [LOC:2912] Ashen Warrior
2920 [LOC:2920] Possessed Armor
3000 [LOC:3000] Barrel Carrier
3001 [LOC:3001] Barrel Carrier
3002 [LOC:3002] Barrel Carrier
3003 [LOC:3003] Barrel Carrier
3004 [LOC:3004] Barrel Carrier
3020 [LOC:3020] Iron Warrior
3030 [LOC:3030] Fume Sorcerer
3031 [LOC:3031] Fume Sorcerer
3040 [LOC:3040] Fume Sorcerer
3041 [LOC:3041] Fume Sorcerer
3100 [LOC:3100] Barrel Carrier
3101 [LOC:3101] Barrel Carrier
4000 [LOC:4000] Ashen Warrior
4100 [LOC:4100] Ashen Warrior
4120 [LOC:4120] Ashen Warrior
4121 [LOC:4121] Ashen Warrior
4200 [LOC:4200] Ashen Warrior
4400 [LOC:4400] Ashen Warrior
4401 [LOC:4401] Ashen Warrior
4500 [LOC:4500] Iron Warrior
4600 [LOC:4600] Possessed Armor
4601 [LOC:4601] Possessed Armor
4610 [LOC:4610] Ashen Warrior
4611 [LOC:4611] Ashen Warrior
4700 [LOC:4700] Iron Warrior
4800 [LOC:4800] Iron Warrior
4901 [LOC:4901] Barrel Carrier
4903 [LOC:4903] Barrel Carrier
4904 [LOC:4904] Barrel Carrier
4905 [LOC:4905] Barrel Carrier
4906 [LOC:4906] Barrel Carrier
5000 [LOC:5000] Iron Warrior
5001 [LOC:5001] Iron Warrior
5010 [LOC:5010] Iron Warrior
5110 [LOC:5110] Barrel Carrier
5111 [LOC:5111] Barrel Carrier
5130 [LOC:5130] Possessed Armor
5201 [LOC:5201] Ashen Warrior
5203 [LOC:5203] Ashen Warrior
5210 [LOC:5210] Barrel Carrier
5211 [LOC:5211] Barrel Carrier
5220 [LOC:5220] Barrel Carrier
5230 [LOC:5230] Possessed Armor
5231 [LOC:5231] Possessed Armor
5232 [LOC:5232] Possessed Armor
5501 [LOC:5501] Ashen Crawler
5502 [LOC:5502] Ashen Crawler
5600 [LOC:5600] Ashen Crawler
5601 [LOC:5601] Ashen Crawler
5602 [LOC:5602] Ashen Crawler
5610 [LOC:5610] Ashen Crawler
5700 [LOC:5700] Ashen Crawler
5800 [LOC:5800] Ashen Crawler
5801 [LOC:5801] Ashen Crawler
5900 [LOC:5900] Ashen Crawler
5901 [LOC:5901] Ashen Crawler
5950 [LOC:5950] Fume Sorcerer
6000 [LOC:6000] Ashen Crawler
6001 [LOC:6001] Ashen Crawler
6002 [LOC:6002] Ashen Crawler
6005 [LOC:6005] Ashen Crawler
6007 [LOC:6007] Ashen Crawler
6008 [LOC:6008] Ashen Crawler
6011 [LOC:6011] Ashen Crawler
6020 [LOC:6020] Ashen Crawler
6030 [LOC:6030] Ashen Crawler
7000 [LOC:7000] Prowlers
7001 [LOC:7001] Prowlers
7002 [LOC:7002] Prowlers
7003 [LOC:7003] Prowlers
7004 [LOC:7004] Prowlers
7100 [LOC:7100] Crystal Lizard
7500 [LOC:7500] Flame Lizard
7502 [LOC:7502] Flame Lizard
7503 [LOC:7503] Flame Lizard
7510 [LOC:7510] Alonne Captain
7520 [LOC:7520] Alonne Knight
7530 [LOC:7530] Alonne Knight
7531 [LOC:7531] Alonne Knight
7532 [LOC:7532] Alonne Knight
7533 [LOC:7533] Alonne Knight
7535 [LOC:7535] Alonne Knight
7603 [LOC:7603] Flame Lizard
7610 [LOC:7610] Alonne Captain
7620 [LOC:7620] Alonne Captain
7621 [LOC:7621] Alonne Knight
7622 [LOC:7622] Alonne Knight
7630 [LOC:7630] Alonne Knight
7631 [LOC:7631] Alonne Knight
7640 [LOC:7640] Alonne Knight
7641 [LOC:7641] Alonne Knight
7651 [LOC:7651] Alonne Knight
8001 [LOC:8001] Ashen Warrior
8004 [LOC:8004] Ashen Warrior
8006 [LOC:8006] Ashen Warrior
8007 [LOC:8007] Ashen Warrior
8020 [LOC:8020] Fume Sorcerer
8103 [LOC:8103] Ashen Warrior
8108 [LOC:8108] Ashen Warrior
8109 [LOC:8109] Ashen Warrior
8201 [LOC:8201] Fume Sorcerer
8210 [LOC:8210] Ashen Warrior
8211 [LOC:8211] Ashen Warrior
8212 [LOC:8212] Ashen Warrior
8213 [LOC:8213] Ashen Warrior
8301 [LOC:8301] Possessed Armor
8311 [LOC:8311] Ashen Warrior
8313 [LOC:8313] Ashen Warrior
8314 [LOC:8314] Ashen Warrior
8320 [LOC:8320] Possessed Armor
8400 [LOC:8400] Iron Warrior
8414 [LOC:8414] Possessed Armor
9000 [LOC:9000] Ashen Warrior
9001 [LOC:9001] Ashen Warrior
9010 [LOC:9010] Possessed Armor
9020 [LOC:9020] Possessed Armor
9030 [LOC:9030] Iron Warrior
9040 [LOC:9040] Iron Warrior
9060 [LOC:9060] Ashen Warrior
9070 [LOC:9070] Iron Warrior
9080 [LOC:9080] Ashen Warrior
9090 [LOC:9090] Ashen Warrior
9500 [LOC:9500] Evangelist Scion Waslo
9501 [LOC:9501] Evangelist Scion Waslo
9502 [LOC:9502] Evangelist Scion Waslo
